"Dimension","Autovalor","Porcentaje","Porcentaje_acumulado"
"Dimension_56",8.08171021920041e-08,1.32922856191324e-08,99.9999993099037
"Dimension_57",8.05056064433087e-08,1.32410527692961e-08,99.9999993231447
"Dimension_58",7.9054909147402e-08,1.3002451256979e-08,99.9999993361472
"Dimension_59",7.82602844410556e-08,1.28717564130624e-08,99.9999993490189
"Dimension_60",7.66699452873316e-08,1.26101874915195e-08,99.9999993616291
"Dimension_61",7.55565604744616e-08,1.24270650021544e-08,99.9999993740562
"Dimension_62",7.47126975930991e-08,1.2288271774753e-08,99.9999993863445
"Dimension_63",7.18512495804744e-08,1.18176389107122e-08,99.9999993981621
"Dimension_64",7.15173683480079e-08,1.17627242381436e-08,99.9999994099248
"Dimension_65",7.08232169076284e-08,1.16485546012945e-08,99.9999994215734
"Dimension_66",6.95907732819701e-08,1.1445850071716e-08,99.9999994330192
"Dimension_67",6.80047779216161e-08,1.11849955898223e-08,99.9999994442042
"Dimension_68",6.67848247601671e-08,1.09843454127668e-08,99.9999994551886
"Dimension_69",6.53595241782864e-08,1.07499209912816e-08,99.9999994659385
"Dimension_70",6.48921129042454e-08,1.06730441423518e-08,99.9999994766115
"Dimension_71",6.34689807252537e-08,1.04389763660537e-08,99.9999994870505
"Dimension_72",6.28543609622914e-08,1.033788759629e-08,99.9999994973884
"Dimension_73",6.2347189757565e-08,1.02544712855318e-08,99.9999995076429
"Dimension_74",6.12701612101002e-08,1.00773284446657e-08,99.9999995177202
"Dimension_75",6.0727876604865e-08,9.98813690396283e-09,99.9999995277083
"Dimension_76",5.98381593204315e-08,9.84180183447628e-09,99.9999995375501
"Dimension_77",5.9717380377697e-08,9.82193687817298e-09,99.9999995473721
"Dimension_78",5.87651743633625e-08,9.66532405777366e-09,99.9999995570374
"Dimension_79",5.76562241465332e-08,9.48293094270658e-09,99.9999995665203
"Dimension_80",5.73621773266526e-08,9.43456798227818e-09,99.9999995759549
"Dimension_81",5.67253536062335e-08,9.32982724608179e-09,99.9999995852847
"Dimension_82",5.6378910624463e-08,9.27284649646895e-09,99.9999995945576
"Dimension_83",5.52287071052014e-08,9.08366829923746e-09,99.9999996036412
"Dimension_84",5.49258910487918e-08,9.03386303026985e-09,99.9999996126751
"Dimension_85",5.29671973990059e-08,8.71170949188289e-09,99.9999996213868
"Dimension_86",5.22503781152106e-08,8.59381159157372e-09,99.9999996299806
"Dimension_87",5.12666294562296e-08,8.43201083656091e-09,99.9999996384126
"Dimension_88",5.05670752111702e-08,8.31695258058293e-09,99.9999996467296
"Dimension_89",5.02447302537055e-08,8.26393532153387e-09,99.9999996549935
"Dimension_90",4.95575644731098e-08,8.15091464180606e-09,99.9999996631444
"Dimension_91",4.87619947208874e-08,8.02006436272332e-09,99.9999996711645
"Dimension_92",4.82628369786033e-08,7.93796605556453e-09,99.9999996791025
"Dimension_93",4.81567237890311e-08,7.92051322954759e-09,99.999999687023
"Dimension_94",4.73847235562754e-08,7.79353951589666e-09,99.9999996948165
"Dimension_95",4.65114295027837e-08,7.64990563552164e-09,99.9999997024664
"Dimension_96",4.60214563488049e-08,7.5693179513342e-09,99.9999997100357
"Dimension_97",4.58735635156941e-08,7.54499347389796e-09,99.9999997175807
"Dimension_98",4.53010796301655e-08,7.45083494665062e-09,99.9999997250316
"Dimension_99",4.45378937220271e-08,7.32531095734237e-09,99.9999997323569
"Dimension_100",4.31684219134796e-08,7.10006889925279e-09,99.999999739457
"Dimension_101",4.19883521587567e-08,6.90597849258355e-09,99.9999997463629
"Dimension_102",4.17290247211234e-08,6.86332595646923e-09,99.9999997532262
"Dimension_103",4.02452525548572e-08,6.61928449874816e-09,99.9999997598455
"Dimension_104",4.00320822889491e-08,6.58422360219157e-09,99.9999997664298
"Dimension_105",3.95729314099574e-08,6.50870537077401e-09,99.9999997729385
"Dimension_106",3.92666871527382e-08,6.45833625302829e-09,99.9999997793968
"Dimension_107",3.91429761239831e-08,6.43798904576833e-09,99.9999997858348
"Dimension_108",3.8907325748641e-08,6.39923076304915e-09,99.999999792234
"Dimension_109",3.8358539289833e-08,6.30896983860945e-09,99.999999798543
"Dimension_110",3.76236862379784e-08,6.18810585823391e-09,99.9999998047311
"Dimension_111",3.71274436376745e-08,6.10648701518322e-09,99.9999998108376
"Dimension_112",3.67103279284714e-08,6.03788246252576e-09,99.9999998168755
"Dimension_113",3.6500888312633e-08,6.00343515968791e-09,99.9999998228789
"Dimension_114",3.60155686978382e-08,5.92361286018138e-09,99.9999998288025
"Dimension_115",3.5484954036535e-08,5.83634071801791e-09,99.9999998346389
"Dimension_116",3.51627917683297e-08,5.7833535065423e-09,99.9999998404222
"Dimension_117",3.49339079121708e-08,5.74570813808497e-09,99.9999998461679
"Dimension_118",3.42915018151285e-08,5.64004924790264e-09,99.999999851808
"Dimension_119",3.40265917083329e-08,5.59647850968741e-09,99.9999998574044
"Dimension_120",3.36857710805995e-08,5.5404224892926e-09,99.9999998629449
"Dimension_121",3.34765150181787e-08,5.50600537615949e-09,99.9999998684509
"Dimension_122",3.24191608313396e-08,5.3320984496446e-09,99.999999873783
"Dimension_123",3.23577945045598e-08,5.3220053044955e-09,99.999999879105
"Dimension_124",3.21603859219915e-08,5.28953678988666e-09,99.9999998843945
"Dimension_125",3.13488711445882e-08,5.15606397395018e-09,99.9999998895506
"Dimension_126",3.1281149980573e-08,5.1449256253812e-09,99.9999998946955
"Dimension_127",3.11154534770063e-08,5.11767291287652e-09,99.9999998998132
"Dimension_128",3.09467145059223e-08,5.08991979456503e-09,99.9999999049031
"Dimension_129",3.03681980702156e-08,4.9947690716338e-09,99.9999999098979
"Dimension_130",2.99136717052097e-08,4.92001145101619e-09,99.9999999148179
"Dimension_131",2.94430461838305e-08,4.84260594302157e-09,99.9999999196605
"Dimension_132",2.93150610385156e-08,4.82155575611323e-09,99.999999924482
"Dimension_133",2.89309006015537e-08,4.758371478118e-09,99.9999999292404
"Dimension_134",2.8572548512902e-08,4.69943199395715e-09,99.9999999339398
"Dimension_135",2.80740025296982e-08,4.61743430506116e-09,99.9999999385573
"Dimension_136",2.7859821437989e-08,4.58220715427254e-09,99.9999999431395
"Dimension_137",2.74146590857565e-08,4.50898966722752e-09,99.9999999476485
"Dimension_138",2.67265343561677e-08,4.39581126563683e-09,99.9999999520443
"Dimension_139",2.64646893753492e-08,4.35274465994851e-09,99.999999956397
"Dimension_140",2.58222148344364e-08,4.24707451255144e-09,99.9999999606441
"Dimension_141",2.5390840870339e-08,4.1761248523444e-09,99.9999999648202
"Dimension_142",2.51724926060797e-08,4.14021231138145e-09,99.9999999689604
"Dimension_143",2.35723102471444e-08,3.8770244417257e-09,99.9999999728375
"Dimension_144",2.25150900436231e-08,3.70313955193918e-09,99.9999999765406
"Dimension_145",2.08757396982225e-08,3.43350957969497e-09,99.9999999799741
"Dimension_146",2.02416000455614e-08,3.32921030198067e-09,99.9999999833033
"Dimension_147",1.92566420787543e-08,3.16721064766821e-09,99.9999999864705
"Dimension_148",1.89454058066466e-08,3.11602047489932e-09,99.9999999895866
"Dimension_149",1.80341109258181e-08,2.96613645888441e-09,99.9999999925527
"Dimension_150",1.76254801937144e-08,2.89892746157374e-09,99.9999999954516
"Dimension_151",1.69920911753109e-08,2.79475164343268e-09,99.9999999982464
"Dimension_152",1.0662064802368e-08,1.75362895722331e-09,100
"Dimension_153",2.25115142686355e-14,3.70255143109402e-15,100
